Full Name,Position,Age,Speed Score,Burst Score,College Dominator Rating,Fantasy Points Per Game (2019),Fantasy Points Per Game Differential (2019),Dominator Rating (2019),Yards Per Touch (2019),Weighted Opportunities Per Game (2019),Fantasy Points Per Opportunity (2019)
Aaron Jones,RB,25.4,96.2,127.3,47.00%,19.7,0.7,35.00%,5.5,15.6,1.03
Adrian Peterson,RB,35.1,115.8,129,32.50%,9.8,0.8,22.30%,4.6,10.8,0.63
Alec Ingold,RB,23.7,84.6,115.8,10.10%,1.6,-0.3,2.90%,3.8,1.4,1.13
Alex Armah,RB,25.9,100.2,119.7,3.20%,1.2,-0.2,2.40%,2.1,0.8,1.21
Alexander Mattison,RB,21.8,92.9,123,28.70%,5.3,-0.3,6.60%,4.9,6.1,0.61
Alfred Morris,RB,31.3,92.1,118.9,50.00%,0.4,-0.1,1.00%,4,0.6,0.4
Alvin Kamara,RB,24.7,99,132.7,23.30%,17.8,-0.3,20.20%,5.3,18.2,0.93
Ameer Abdullah,RB,26.8,91.6,137.3,37.10%,2.8,-0.1,3.30%,5.3,3.3,0.89
Andy Janovich,RB,26.9,88.9,117.3,5.70%,3.8,-0.4,11.70%,7.2,2.1,2.55
Anthony Sherman,RB,31.3,95.1,110.8,3.40%,1.3,0.2,2.20%,5.2,1.8,0.73
Austin Ekeler,RB,24.9,98.8,132.9,45.70%,19.3,-0.2,28.00%,6.9,15.5,1.29
Benny Snell,RB,22.1,95,109.7,41.10%,5.3,0,12.00%,4,6.5,0.52
Bilal Powell,RB,31.5,94.4,-,34.20%,2.8,0.3,7.10%,4,4.5,0.47
Bo Scarbrough,RB,23.5,109.2,132.5,14.90%,7.2,0.7,14.60%,4.2,9.9,0.46
Boston Scott,RB,25,99.5,126,23.30%,10.8,-0.4,17.80%,5.3,8.6,1.11
Brandon Bolden,RB,30.2,91.2,124.1,26.90%,3.4,-0.4,7.00%,7.5,1.8,1.96
Brian Hill,RB,24.4,103.1,120.3,34.20%,6.7,0.2,11.80%,4.5,6.9,0.73
Buddy Howell,RB,24,97.8,104.8,17.80%,0.3,-0.1,1.10%,2,1,0.2
C.J. Anderson,RB,29.2,100.1,113.9,18.20%,2.1,0.4,5.10%,2.7,4.8,0.27
C.J. Ham,RB,26.7,91.5,121.9,29.90%,2.9,-0.2,3.20%,6.9,3.6,1.11
C.J. Prosise,RB,25.9,109.2,120.9,26.20%,3.6,-0.3,4.80%,4.5,4.1,0.82
Carlos Hyde,RB,29.6,101,115.7,24.10%,9.6,0.7,15.90%,4.4,10.8,0.59
Chase Edmonds,RB,24,95.7,118.8,34.10%,8.3,0.2,18.20%,5.7,6.9,1.02
Chris Carson,RB,25.6,99.1,127.9,19.60%,15.5,0.6,23.00%,4.8,15.9,0.72
Chris Thompson,RB,29.5,96.2,118.5,13.60%,8.5,-1.1,14.40%,6.5,10.3,0.99
Christian McCaffrey,RB,23.9,100.3,124.3,50.70%,29.3,-1.6,45.80%,5.9,24.8,1.09
Corey Clement,RB,25.4,91.7,106,33.10%,-2,-,0.00%,-,0,-
D'Ernest Johnson,RB,-,71.7,110.4,16.20%,1.9,-0.3,3.10%,9.2,1.7,1.38
D.J. Foster,RB,26.4,88.5,118.9,18.80%,0,-,0.00%,-,0,-
Dalvin Cook,RB,24.7,103.3,109.9,38.80%,20.9,-1,30.50%,5.5,17.8,0.93
Dalyn Dawkins,RB,25.3,79.6,111.2,21.50%,1.3,0,3.90%,2.4,4.1,0.22
Damien Harris,RB,23.2,99,123.4,14.70%,1.2,0.4,3.70%,3,2.4,0.3
Damien Williams,RB,28,113.2,120.9,16.90%,12.8,0.7,19.70%,5,11.3,0.95
Dan Vitale,RB,26.5,106.8,127,12.50%,1.9,0,3.00%,12.5,2.2,1.31
Dare Ogunbowale,RB,25.9,91.1,119.5,17.20%,4.7,-1.3,4.40%,6.6,4.9,1.32
Darrel Williams,RB,25,90.7,108.9,21.50%,7.5,-0.8,11.90%,5.5,6.2,1.11
Darrell Henderson,RB,22.7,102.4,117.5,33.90%,2.5,0.4,5.30%,4.3,3.6,0.5
Darren Sproles,RB,36.8,92.7,108.6,34.10%,2.5,0,4.20%,3.9,4.3,0.56
Darwin Thompson,RB,23.2,88.4,129.3,24.70%,3.2,0.5,3.60%,3.6,3.9,0.67
David Johnson,RB,28.3,109.3,134.1,40.80%,11.8,-0.2,18.40%,5.5,10.8,1
David Montgomery,RB,22.9,96.6,109,30.50%,10.7,0.2,23.20%,4,12.5,0.62
De'Lance Turner,RB,24.6,98.2,122.9,28.60%,0.6,0.3,1.20%,1.5,2.4,0.15
DeAndre Washington,RB,27.1,100.4,117.7,23.40%,7.6,0.2,9.90%,4.7,8,0.82
Derek Watt,RB,27.4,88.2,115,2.70%,1.7,-0.5,3.10%,4.2,1.5,1.1
Derrick Henry,RB,25.7,116.3,127.9,43.50%,19.6,1,34.70%,5.4,14.7,0.9
Derrius Guice,RB,22.8,110.2,-,32.20%,11.5,0.6,25.10%,6.6,8.2,1.1
Devin Singletary,RB,22.6,86.1,118,37.80%,12.3,0.8,18.80%,5.4,13,0.77
Devine Ozigbo,RB,23.5,91,124.9,25.50%,8,1.1,13.80%,4.2,13.3,0.57
Devonta Freeman,RB,28.1,93.6,112.6,17.80%,14.1,0.9,18.00%,4.4,15.7,0.78
Devontae Booker,RB,27.9,99.5,-,40.10%,1.4,-0.1,2.40%,8.2,1.7,1.15
Dexter Williams,RB,23.3,97.2,126.2,33.00%,0.6,0.2,1.20%,2.2,1.5,0.22
Dion Lewis,RB,29.6,88.5,114.7,34.00%,4.4,0.2,4.30%,4.7,5.5,0.77
Dontrell Hilliard,RB,25.1,101.2,121.2,29.10%,2.9,-0.6,4.70%,5.6,2.4,1.36
Duke Johnson,RB,26.6,97.4,117.5,33.00%,9.6,-0.5,12.40%,6.5,9.2,1.06
Dwayne Washington,RB,26,105.9,127.3,22.20%,1.5,0.9,3.10%,7.3,1.3,0.84
Elijhaa Penny,RB,26.7,87.5,102.5,31.10%,0.8,0,1.60%,2.8,1.7,0.36
Ezekiel Elliott,RB,24.7,112.7,114.3,37.80%,19.5,-0.3,27.20%,5,18.4,0.84
Frank Gore,RB,36.9,94.4,112.3,22.50%,6.3,0.2,9.80%,3.9,8.3,0.52
Giovani Bernard,RB,28.4,95.9,118,30.00%,4.3,-0.5,7.30%,4.9,6.2,0.71
Gus Edwards,RB,25,105,120.2,26.40%,5.8,0.7,7.40%,5.4,5.8,0.66
Ito Smith,RB,24.6,97.5,121.6,33.90%,5.2,-1.1,6.30%,5.8,5,1.01
J.D. McKissic,RB,26.7,82.1,123.9,10.20%,5.6,0,4.70%,-,-,-
Jakob Johnson,RB,25.3,69.2,-,0.20%,1.5,0.3,1.00%,5,3.1,0.75
Jalen Richard,RB,26.5,88.5,117.4,22.60%,5.2,-0.4,7.80%,6.2,5.7,1.01
Jamaal Williams,RB,25,95.5,112.5,36.40%,10.5,-0.3,15.00%,4.9,9.6,0.96
James Conner,RB,24.9,99.7,105.8,34.40%,14.6,1.1,31.70%,4.8,13.1,0.94
James Develin,RB,31.7,76.6,100.5,-,0.3,-0.1,0.80%,1.5,1.2,0.15
James White,RB,28.2,93.5,111.4,13.20%,12.8,-1.5,15.10%,6.5,12.6,1.19
Jamize Olawale,RB,31,108.2,-,-,0,0,0.00%,-,1,0
Javorius Allen,RB,28.6,105,120.9,27.70%,3.8,0.2,8.20%,4.1,3,0.96
Jay Ajayi,RB,26.8,101.3,126.8,41.30%,1,0.1,2.50%,3,2.5,0.27
Jaylen Samuels,RB,23.7,105.9,119.2,23.90%,8,-0.3,12.00%,4.2,9.9,0.85
Jeff Wilson,RB,24.4,92.2,114.5,34.60%,5.9,-1.6,10.70%,4.6,3,1.47
Joe Mixon,RB,23.7,111.2,118.5,24.70%,14.1,-0.2,27.70%,4.6,14.8,0.7
John Kelly,RB,23.5,89.3,119.5,36.50%,0.9,0.5,2.40%,3,1.8,0.3
Jon Hilliman,RB,24.4,101.7,118.7,26.50%,2.7,0,10.80%,2.8,8.1,0.24
Jonathan Williams,RB,26.2,91.7,-,25.40%,8.1,0.9,14.00%,5.4,7.5,0.75
Jordan Howard,RB,25.4,105.5,118.8,29.30%,12.4,0.2,23.20%,4.6,10.4,0.84
Jordan Scarlett,RB,24.2,104.2,109,22.00%,0.9,-0.2,3.10%,2.2,2.4,0.22
Jordan Wilkins,RB,25.7,98.2,119.7,24.80%,4.2,-0.1,7.40%,6,3.7,0.87
Josh Adams,RB,23.5,98.5,118.8,21.30%,0.6,0.5,1.50%,1.5,2.4,0.15
Josh Ferguson,RB,26.9,98.3,118.7,26.20%,0.9,0.2,2.50%,3,1.8,0.3
Josh Jacobs,RB,22.2,90.9,115.5,13.90%,14.7,0.6,26.30%,5,14.6,0.71
Justice Hill,RB,22.4,105.7,133,22.50%,3.1,0.3,3.90%,4.5,3.6,0.68
Justin Jackson,RB,24,92.5,126.5,30.70%,4.5,0.1,7.30%,5.8,5,0.78
Kalen Ballage,RB,24.3,115.2,118,20.60%,4.3,-0.4,9.30%,2.2,6.8,0.53
Kareem Hunt,RB,24.7,94.8,121.6,28.70%,12.7,0,15.40%,5.8,12.1,1.15
Kenjon Barner,RB,31,93.9,121.4,28.30%,0.7,-0.1,0.90%,5,1.1,0.76
Kenyan Drake,RB,26.2,107.1,120.2,12.90%,15.2,-0.1,26.10%,5.3,14.9,0.89
Kerrith Whyte,RB,23.5,103.2,137.4,19.00%,2.4,0.1,7.60%,5,2.8,0.54
Kerryon Johnson,RB,22.8,97.7,131,36.40%,10.6,-0.2,20.30%,4.3,11.4,0.66
Khari Blasingame,RB,23.8,104.1,131,16.20%,2.4,-0.2,2.90%,13.5,2,1.88
Kyle Juszczyk,RB,29,96.6,123.4,15.00%,4.2,-0.4,3.80%,10.7,3.3,1.87
Latavius Murray,RB,30.2,115.8,123.2,27.30%,9.8,0.5,13.30%,4.8,9.7,0.83
Le'Veon Bell,RB,28.2,102.7,112.6,45.10%,14.2,0.3,23.20%,4,18,0.66
LeSean McCoy,RB,31.8,97.1,102.8,47.10%,9.1,0.1,13.20%,5,8.8,0.88
Leonard Fournette,RB,25.2,116,-,38.80%,17.3,-0.5,21.80%,4.9,21.1,0.71
Malcolm Brown,RB,27.3,98.3,117.2,21.70%,4.5,-0.3,10.30%,3.8,3.9,0.79
Mark Ingram,RB,30.3,94.4,110.1,30.70%,15.9,-0.7,23.10%,5.6,11.2,1.03
Mark Walton,RB,23,90.2,112.6,18.00%,6,0.2,14.70%,4.3,9.3,0.57
Marlon Mack,RB,24.1,103.9,122.9,29.80%,12.8,0.6,23.80%,4.5,12.5,0.68
Marshawn Lynch,RB,34,108.7,122.9,31.90%,9.4,-0.6,21.40%,2.8,7.2,0.78
Matt Breida,RB,25.1,100.4,138.4,21.80%,8.6,1.2,10.40%,5.2,9,0.71
Melvin Gordon,RB,27,103,122.5,47.10%,15.1,-0.5,27.60%,4.5,15.3,0.83
Mike Boone,RB,24.7,101.4,140.9,19.80%,10,-0.7,22.90%,5.6,7.1,0.94
Mike Burton,RB,28.2,95.1,113.6,3.30%,0,0,0.00%,-,1.6,0
Mike Davis,RB,27.9,96.1,115.8,22.60%,2.4,0,3.00%,2.5,4.1,0.57
Miles Sanders,RB,23,103.8,123.2,21.10%,13.5,-0.2,18.00%,5.8,12.9,0.9
Myles Gaskin,RB,23.2,93.2,119.4,33.50%,4.5,0.1,6.30%,4.3,5.8,0.65
Nick Bawden,RB,23.8,94.7,-,2.30%,1,-0.1,0.70%,4.2,1.6,0.95
Nick Chubb,RB,24.3,108.8,129.5,25.00%,15.9,-0.2,26.20%,5.3,16.1,0.73
Nyheim Hines,RB,23.4,107.6,119.9,22.60%,6.6,-0.6,7.30%,5.4,7.6,0.96
Patrick DiMarco,RB,31,77.3,104.2,4.40%,1.4,0.4,2.10%,6,1.8,0.98
Patrick Laird,RB,24.7,90.8,117.8,30.10%,8.3,-0.2,8.70%,4.4,10.5,0.72
Paul Perkins,RB,25.4,97.9,116.4,28.40%,1.6,0.4,3.00%,2.7,3.1,0.34
Peyton Barber,RB,25.8,98.4,110.8,30.90%,7.2,0.4,11.70%,3.4,8.1,0.64
Phillip Lindsay,RB,25.7,94.7,122.4,38.40%,12.4,0.7,24.90%,4.7,13.1,0.73
Qadree Ollison,RB,23.6,103.6,107.2,26.30%,5.1,-1.5,14.50%,2.5,2.7,1.28
Raheem Mostert,RB,28,97.5,134,12.30%,11.1,0.7,17.70%,6.3,7.8,1.05
Rashaad Penny,RB,24.2,111.2,115.3,50.10%,8.4,0.8,13.70%,6.2,6.3,0.99
Reggie Bonnafon,RB,24.3,96.4,128.1,11.00%,3.3,0.1,5.10%,7.9,2.8,1.13
Rex Burkhead,RB,29.8,85.5,128.8,23.50%,7.8,0.3,11.30%,6.3,7.6,0.98
Ricky Ortiz,RB,26,77.6,116,-,1.8,1.2,2.10%,8,1.6,1.8
Ronald Jones,RB,22.7,97.4,119.1,33.40%,10.4,0.7,14.00%,5.1,10.5,0.78
Roosevelt Nix,RB,28,90.4,102.6,-,1.2,-0.3,0.60%,2,2.4,0.8
Royce Freeman,RB,24.1,107.8,116.8,30.40%,8.9,-0.4,14.80%,4.3,9.9,0.78
Ryan Nall,RB,24.3,106.4,117.1,37.40%,0.4,0,1.30%,4,0.6,0.4
Ryquell Armstead,RB,23.5,112.2,108,31.60%,3.7,-0.4,6.60%,5.1,4.2,0.87
Samaje Perine,RB,24.6,99.7,114.1,27.80%,1.6,0.7,4.00%,3.2,3,0.32
Saquon Barkley,RB,23.2,124.3,134.7,32.20%,18.8,-0.2,25.50%,5.4,18.8,0.84
Senorise Perry,RB,28.6,97.1,125.9,16.60%,0.7,-0.1,0.70%,1,1.7,0.35
Sony Michel,RB,25.2,100.7,-,27.50%,9.6,0.4,17.10%,3.9,11.2,0.57
Spencer Ware,RB,28.4,96.3,119.9,12.20%,4.1,0.2,6.40%,3.3,7.1,0.51
T.J. Logan,RB,25.6,107.5,117.5,17.60%,0.5,-0.1,0.60%,4.6,0.7,0.72
T.J. Yeldon,RB,26.5,100.1,119.7,20.80%,7.4,0.5,12.70%,6.2,8.8,0.9
Taiwan Jones,RB,31.7,106,133.2,33.40%,3,0.2,5.30%,4.9,3.5,0.59
Tarik Cohen,RB,24.7,93.8,112.6,40.80%,10.1,-0.1,12.00%,4.7,12.6,0.96
Tavon Austin,RB,29.1,98.1,114.4,26.30%,3.4,0,4.00%,-,-,-
Tevin Coleman,RB,27,106,-,43.20%,9.7,-0.6,14.90%,4.6,9.2,0.81
Todd Gurley,RB,25.7,110.7,-,33.50%,14.5,-0.9,26.00%,4.2,14.2,0.8
Tony Brooks-James,RB,25.4,89.4,123.9,12.10%,0.2,0,0.80%,0.9,1.6,0.09
Tony Pollard,RB,23,100.6,120,13.20%,6.2,1.6,7.80%,5.6,5.9,0.82
Tra Carson,RB,27.5,93.8,120.4,22.70%,5.3,0.8,8.70%,3,8.5,0.48
Travis Homer,RB,21.7,99.8,132.2,21.30%,5.6,-0.3,9.00%,5.9,6.2,0.9
Trenton Cannon,RB,25.7,94.4,130,36.20%,0,-,0.00%,-,0,-
Trey Edmunds,RB,25.3,105.9,121.4,16.20%,3.3,0.1,7.30%,5,4,0.69
Troymaine Pope,RB,26.4,91.6,119.5,25.80%,0.9,0.1,3.10%,2.8,1.1,0.72
Ty Johnson,RB,22.6,107.1,120.2,17.00%,4,0,6.90%,4.4,5.8,0.64
Ty Montgomery,RB,27.2,100.8,129.4,18.00%,2.3,0.3,4.70%,4.3,3.3,0.66
Tyler Ervin,RB,26.5,101.5,131.3,35.10%,0.6,0,0.80%,7,1,0.82
Wayne Gallman,RB,25.5,96,110.2,21.40%,5.4,-0.5,10.10%,5.3,4.7,1.07
Wendell Smallwood,RB,26.2,104.2,117,22.30%,2.1,-0.1,5.10%,4.7,3.1,0.67
Wes Hills,RB,24.9,90.2,-,34.30%,16.2,-3.2,53.60%,1.8,9.1,1.35
Zach Line,RB,30,89.6,114.6,33.30%,1.4,0,1.90%,4.3,2.5,0.68
Zach Zenner,RB,28.6,99.6,130.2,43.80%,1.2,-0.1,1.60%,3.4,2.2,0.62
